ID,gender,minority,deprived,C_we,C_wk,G_we,G_wk,S_we,S_wk,T_we,T_wk,sum,Optm,Usef,Relx,Intp,Engs,Dealpr,Thcklr,Goodme,Clsep,Conf,Mkmind,Loved,Intthg,Cheer
1100262,1,0,0,3.0,2.0,3.0,2.0,1.0,1.0,6.0,4.0,22.0,1,3,4,4,2,4,4,3,2,4,5,3,2,3
1103906,1,0,0,4.0,4.0,7.0,3.0,0.5,1.0,0.5,0.0,20.0,3,2,2,4,4,2,2,3,1,2,4,5,4,3
1029647,1,0,0,0.0,0.0,7.0,3.0,3.0,0.5,5.0,2.0,20.5,3,4,4,3,4,4,3,4,5,3,4,5,3,5
1045369,1,0,1,4.0,4.0,4.0,2.0,1.0,1.0,5.0,3.0,24.0,3,3,3,3,2,3,3,3,3,3,3,3,3,3
1089144,1,0,0,1.0,0.5,7.0,5.0,1.0,0.5,6.0,5.0,26.0,2,3,2,3,4,3,2,3,4,3,3,3,4,3
1004902,1,0,0,1.0,2.0,4.0,2.0,1.0,1.0,7.0,5.0,23.0,4,3,4,3,3,2,2,3,3,2,3,4,2,3
1018282,1,0,0,2.0,2.0,7.0,7.0,1.0,0.5,7.0,6.0,32.5,2,2,5,1,3,5,4,5,5,4,4,5,2,4
1063340,1,0,0,4.0,2.0,2.0,0.5,4.0,2.0,6.0,2.0,22.5,1,1,3,4,3,2,4,3,3,3,4,4,5,3
1041722,1,0,0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,20.0,4,4,5,4,4,4,5,4,3,4,4,3,4,4
1018412,1,1,0,0.0,4.0,2.0,0.0,7.0,5.0,3.0,1.0,22.0,3,2,4,3,2,3,3,3,2,4,4,3,2,3
1028697,1,0,1,4.0,2.0,0.5,0.5,7.0,6.0,4.0,2.0,26.0,4,2,2,4,3,3,2,2,3,2,4,4,3,2
1080109,1,0,0,0.5,1.0,0.5,0.5,7.0,7.0,5.0,3.0,24.5,1,3,4,3,1,2,4,4,4,4,4,3,2,4
1047236,1,1,1,1.0,1.0,2.0,0.0,7.0,7.0,7.0,5.0,30.0,3,4,4,3,5,5,4,5,4,5,5,5,5,5
1098188,1,0,1,0.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,26.0,2,4,4,3,5,3,3,4,3,3,4,4,5,3
1031467,1,0,0,0.0,0.5,3.0,2.0,5.0,5.0,4.0,3.0,22.5,4,3,5,3,4,4,4,4,4,4,4,5,4,5
1012685,1,0,0,2.0,1.0,3.0,2.0,7.0,3.0,4.0,3.0,25.0,4,4,3,4,3,4,4,5,5,5,5,5,5,5
1054219,1,1,1,0.5,0.5,1.0,2.0,7.0,6.0,2.0,4.0,23.0,4,5,4,3,4,3,5,4,4,5,4,4,3,2
1011258,1,0,0,0.0,1.0,3.0,2.0,5.0,4.0,7.0,6.0,28.0,3,4,4,4,2,4,4,5,4,4,4,4,3,4
1022272,1,1,0,2.0,0.0,2.0,2.0,5.0,4.0,5.0,5.0,25.0,4,3,2,4,4,2,2,1,2,3,3,2,3,2
1034578,1,0,1,2.0,1.0,2.0,2.0,7.0,7.0,6.0,4.0,31.0,3,2,3,5,2,3,2,1,2,1,5,4,4,2
1033045,1,0,0,1.0,1.0,3.0,3.0,5.0,4.0,7.0,4.0,28.0,2,2,4,3,4,4,3,4,5,5,5,4,2,3
1039419,1,1,1,4.0,1.0,4.0,1.0,5.0,2.0,5.0,2.0,24.0,3,3,2,2,3,3,3,4,4,5,5,3,4,4
1118720,1,1,1,0.0,0.0,4.0,3.0,6.0,5.0,4.0,3.0,25.0,3,3,4,3,2,2,2,3,3,2,3,3,2,3
1110485,1,0,1,2.0,1.0,4.0,3.0,7.0,7.0,6.0,4.0,34.0,3,2,2,5,3,3,2,1,2,5,3,2,2,3
1036733,1,0,1,3.0,6.0,3.0,1.0,2.0,1.0,5.0,3.0,24.0,4,4,3,4,4,4,4,3,3,4,4,3,3,4
1013760,1,0,0,5.0,2.0,7.0,2.0,2.0,2.0,7.0,4.0,31.0,2,2,3,2,4,5,4,5,4,3,4,5,4,3
1035173,1,0,0,6.0,4.0,7.0,7.0,7.0,7.0,5.0,3.0,46.0,3,2,4,4,3,4,4,4,4,4,5,5,4,4
1021579,1,0,0,7.0,5.0,7.0,5.0,3.0,1.0,7.0,4.0,39.0,3,3,3,4,3,3,3,3,3,3,4,4,3,3
1046907,1,0,1,7.0,7.0,3.0,2.0,7.0,7.0,5.0,3.0,41.0,3,4,3,5,4,4,4,5,4,5,5,5,5,3
1027219,1,0,0,7.0,5.0,5.0,3.0,7.0,7.0,2.0,2.0,38.0,2,3,2,4,2,2,2,2,3,3,4,3,3,2
